ID,Name,Formula,Category,Molecular Weight (g/mol),Equation Type,T_min (K),T_max (K),Cp at 298.15K,Native Unit,Data Source,Engineering Notes
met_13,Tin (beta),Sn,Metals and alloys,118.71,shomate,298.15,505.08,27.11,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,White tin metallic phase; Tm = 505.08 K.
met_14,Chromium,Cr,Metals and alloys,51.996,shomate,298.15,2000.0,23.35,J/(mol*K),NIST Chemistry WebBook / Barin (1995),BCC passivation alloy element; Tm = 2180 K.
met_15,Molybdenum,Mo,Metals and alloys,95.95,shomate,298.15,2500.0,24.06,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,"Refractory BCC metal, high creep resistance; Tm = 2896 K."
met_16,Vanadium,V,Metals and alloys,50.942,shomate,298.15,2100.0,24.89,J/(mol*K),NIST Chemistry WebBook / Barin (1995),Microalloying element in HSLA steels; Tm = 2183 K.
met_17,Cobalt (alpha),Co,Metals and alloys,58.933,shomate,298.15,700.0,24.81,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,HCP phase cobalt below allotropic transformation (700 K).
met_18,Tantalum,Ta,Metals and alloys,180.948,shomate,298.15,2500.0,25.36,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Corrosion-resistant capacitor and chemical metal; Tm = 3290 K.
met_19,Niobium,Nb,Metals and alloys,92.906,shomate,298.15,2500.0,24.6,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Superconducting element and superalloy additive; Tm = 2750 K.
met_20,Zirconium (alpha),Zr,Metals and alloys,91.224,shomate,298.15,1135.0,25.36,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Nuclear cladding metal with low neutron absorption.
met_21,Beryllium,Be,Metals and alloys,9.012,shomate,298.15,1500.0,16.44,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,"Low density (1.85 g/cm3), high Debye temperature."
met_22,Palladium,Pd,Metals and alloys,106.42,shomate,298.15,1800.0,25.98,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Hydrogen storage and catalytic transition metal; Tm = 1828 K.
met_23,Rhodium,Rh,Metals and alloys,102.91,shomate,298.15,2200.0,24.98,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Platinum-group metal for catalytic converters; Tm = 2237 K.
met_24,Iridium,Ir,Metals and alloys,192.22,shomate,298.15,2500.0,25.1,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Most corrosion-resistant metal; high modulus; Tm = 2719 K.
met_25,Stainless Steel AISI 304,Fe-18Cr-8Ni,Metals and alloys,55.2,poly,273.15,1200.0,500.0,J/(kg*K),ASM Handbook Vol. 1 / Kim (1975),Standard 18/8 austenitic stainless steel.
met_26,Stainless Steel AISI 316L,Fe-17Cr-12Ni-2.5Mo,Metals and alloys,55.4,poly,273.15,1250.0,502.0,J/(kg*K),ASM Handbook Vol. 1 / MatWeb Database,Marine-grade molybdenum austenitic stainless steel.
met_27,Inconel 718,Ni-19Cr-18Fe-5Nb-3Mo,Metals and alloys,59.8,poly,298.15,1300.0,435.0,J/(kg*K),Special Metals Corp. / Pottlacher et al. (2002),Precipitation-hardened gas turbine disc superalloy.
met_28,Inconel 625,Ni-22Cr-9Mo-3.5Nb,Metals and alloys,61.2,poly,298.15,1350.0,410.0,J/(kg*K),Special Metals Corp. / NIST Materials Data,Solid-solution strengthened marine and aerospace alloy.
met_29,Titanium Ti-6Al-4V (Gr 5),Ti-6Al-4V,Metals and alloys,46.5,poly,298.15,1250.0,526.0,J/(kg*K),"Boivineau et al., Int. J. Thermophys. (2006)",Workhorse aerospace structural titanium alloy.
met_30,Brass Cartridge (70Cu-30Zn),Cu70Zn30,Metals and alloys,64.1,poly,298.15,1100.0,375.0,J/(kg*K),Copper Development Assoc. (CDA) / Touloukian TPRC,Alpha brass with superior cold-forming characteristics.
met_31,Phosphor Bronze (Cu-10Sn),Cu90Sn10,Metals and alloys,69.06,poly,298.15,1150.0,370.0,J/(kg*K),CDA / MatWeb Materials Database,High fatigue limit alloy for springs and electrical switchgear.
met_32,Aluminum Alloy 6061-T6,Al-1.0Mg-0.6Si,Metals and alloys,26.9,poly,273.15,800.0,896.0,J/(kg*K),Aluminum Association / MIL-HDBK-5J,Structural aircraft and bicycle architectural alloy.
met_33,Aluminum Alloy 7075-T6,Al-5.6Zn-2.5Mg-1.6Cu,Metals and alloys,27.4,poly,273.15,750.0,960.0,J/(kg*K),Alcoa Technical Data / Touloukian TPRC,Ultra-high strength zinc-hardened aircraft wing spar alloy.
met_34,Nichrome 80/20,Ni80Cr20,Metals and alloys,57.35,poly,298.15,1400.0,450.0,J/(kg*K),ASM Specialty Handbook: Nickel & Cobalt Alloys,Industrial heating element alloy with stable chromia scale.
met_35,Hastelloy C-276,Ni-16Mo-16Cr-4W-5Fe,Metals and alloys,62.5,poly,298.15,1300.0,427.0,J/(kg*K),Haynes International Technical Bulletin,Severe wet chlorine / sour gas resistant superalloy.
cer_01,Alumina (Corundum),Al2O3,Ceramics,101.96,shomate,298.15,2300.0,79.04,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Alpha-alumina corundum; hard dielectric substrate; Tm = 2345 K.
cer_02,Zirconia (monoclinic),ZrO2,Ceramics,123.22,shomate,298.15,1478.0,56.21,J/(mol*K),NIST Chemistry WebBook / Barin (1995),Baddeleyite monoclinic phase below martensitic transformation.
cer_03,Titania (Rutile),TiO2,Ceramics,79.866,shomate,298.15,1800.0,55.04,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,High refractive index tetragonal optical ceramic; Tm = 2116 K.
cer_04,Silicon Dioxide (alpha-Quartz),SiO2,Ceramics,60.084,shomate,298.15,847.0,44.6,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Trigonal alpha-quartz below alpha-beta displacive transition (847 K).
cer_05,Silicon Carbide (alpha),SiC,Ceramics,40.1,shomate,298.15,2000.0,26.85,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Hexagonal 6H-SiC abrasive and high-power electronic ceramic.
cer_06,Silicon Nitride (beta),Si3N4,Ceramics,140.28,shomate,298.15,2000.0,99.1,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,High fracture toughness engineering ceramic for turbine balls.
cer_07,Boron Nitride (hexagonal),h-BN,Ceramics,24.82,shomate,298.15,1800.0,19.8,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,White graphite layered ceramic; high thermal conductivity dielectric.
cer_08,Aluminum Nitride,AlN,Ceramics,40.99,shomate,298.15,2000.0,30.12,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,"Wurtzite lattice, high thermal conductivity (170-200 W/m-K)."
cer_09,Boron Carbide,B4C,Ceramics,55.25,shomate,298.15,2000.0,53.08,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Ultra-hard ceramic (30 GPa Vickers) for body armor tiles.
cer_10,Titanium Carbide,TiC,Ceramics,59.89,shomate,298.15,2200.0,33.81,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Rocksalt structured refractory carbide; Tm = 3430 K.
cer_11,Titanium Nitride,TiN,Ceramics,61.88,shomate,298.15,2200.0,37.11,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Golden hard coating ceramic for cutting tool wear protection.
cer_12,Tungsten Carbide,WC,Ceramics,195.85,shomate,298.15,2500.0,35.56,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Hexagonal cermet core ceramic for metal cutting inserts.
cer_13,Magnesium Oxide (Periclase),MgO,Ceramics,40.304,shomate,298.15,2200.0,37.15,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Basic refractory oxide with rocksalt lattice; Tm = 3125 K.
cer_14,Calcium Oxide,CaO,Ceramics,56.077,shomate,298.15,2200.0,42.05,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Quicklime ceramic; Tm = 2886 K.
cer_15,Beryllium Oxide (Bromellite),BeO,Ceramics,25.011,shomate,298.15,2200.0,25.56,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Ultra-high thermal conductivity electrical insulator; Tm = 2851 K.
cer_16,Zinc Oxide,ZnO,Ceramics,81.38,shomate,298.15,1800.0,40.25,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Wurtzite II-VI piezoceramic and varistor base.
cer_17,Yttrium Oxide (Yttria),Y2O3,Ceramics,225.81,shomate,298.15,2200.0,102.5,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Cubic bixbyite stabilizer for YSZ thermal barrier coatings.
cer_18,Hematite (Ferric Oxide),Fe2O3,Ceramics,159.69,shomate,298.15,950.0,103.85,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Alpha-Fe2O3 corundum lattice below Morin/Curie transitions.
cer_19,Magnetite,Fe3O4,Ceramics,231.53,shomate,298.15,850.0,150.8,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Inverse spinel ferrimagnetic oxide below Curie point (858 K).
cer_20,Chromium(III) Oxide,Cr2O3,Ceramics,151.99,shomate,298.15,1800.0,118.7,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Eskolaite corundum structure; green pigment and hard protective scale.
cer_21,Barium Titanate,BaTiO3,Ceramics,233.19,poly,298.15,1400.0,102.3,J/(mol*K),Perry's Chemical Engineers' Handbook / NIST,Classic ferroelectric perovskite for MLCC capacitors.
cer_22,Lead Zirconate Titanate (PZT 52/48),PbZr0.52Ti0.48O3,Ceramics,325.3,poly,298.15,800.0,355.0,J/(kg*K),Jaffe et al. Piezoelectric Ceramics / MatWeb,Morphotropic phase boundary piezoceramic for ultrasound transducers.
cer_23,Mullite,3Al2O3-2SiO2,Ceramics,426.05,poly,298.15,1700.0,335.0,J/(mol*K),"Robie & Hemingway, USGS Bulletin 2131",High-temperature aluminosilicate refractory with low thermal expansion.
cer_24,Cordierite,2MgO-2Al2O3-5SiO2,Ceramics,584.99,poly,298.15,1500.0,470.0,J/(mol*K),USGS Bulletin 2131 / MatWeb,Ultra-low thermal expansion ceramic for catalytic converter honeycombs.
cer_25,Magnesium Aluminate Spinel,MgAl2O4,Ceramics,142.27,shomate,298.15,2000.0,116.3,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Transparent armor and optical dome ceramic; Tm = 2408 K.
cer_26,Forsterite,Mg2SiO4,Ceramics,140.69,shomate,298.15,1800.0,118.0,J/(mol*K),NIST Chemistry WebBook / USGS Bulletin,Orthorhombic magnesium olivine ceramic for high-frequency insulation.
cer_27,Steatite,MgSiO3,Ceramics,100.39,poly,298.15,1400.0,82.5,J/(mol*K),Robie & Hemingway / MatWeb,Talc-derived electrical insulator ceramic for high-voltage standoffs.
cer_28,Zircon,ZrSiO4,Ceramics,183.31,shomate,298.15,1800.0,98.65,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Zirconium silicate ceramic with high chemical stability against glass melt.
cer_29,Lanthanum(III) Oxide,La2O3,Ceramics,325.81,shomate,298.15,2000.0,108.8,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,High-k gate dielectric and optical glass component; Tm = 2588 K.
cer_30,Cerium(IV) Oxide (Ceria),CeO2,Ceramics,172.11,shomate,298.15,2000.0,61.63,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Fluorite lattice catalyst and SOFC solid oxide electrolyte.
cer_31,Strontium Titanate,SrTiO3,Ceramics,183.49,poly,298.15,1500.0,98.4,J/(mol*K),Barin Thermochemical Data / Materials Project,Cubic quantum paraelectric perovskite substrate for oxide epitaxy.
cer_32,Bismuth(III) Oxide,Bi2O3,Ceramics,465.96,shomate,298.15,1000.0,113.8,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,High oxide-ion conducting solid electrolyte at elevated temperatures.
cer_33,Vanadium(V) Oxide,V2O5,Ceramics,181.88,shomate,298.15,950.0,130.3,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Layered catalyst and electrochromic insertion compound; Tm = 963 K.
cer_34,Tin(IV) Oxide (Cassiterite),SnO2,Ceramics,150.71,shomate,298.15,1800.0,52.6,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Tetragonal rutile n-type semiconductor for gas sensors and TCOs.
cer_35,Hafnium(IV) Oxide (Hafnia),HfO2,Ceramics,210.49,shomate,298.15,2200.0,60.25,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,High-k gate oxide replacing SiO2 in sub-45nm CMOS logic nodes.
semi_01,Silicon (crystalline),Si,Semiconductors,28.085,shomate,298.15,1687.0,20.0,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Diamond cubic lattice; premier semiconductor for CMOS microelectronics; Tm = 1687 K.
semi_02,Germanium,Ge,Semiconductors,72.63,shomate,298.15,1211.4,23.22,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,High hole mobility group IV semiconductor for IR optics and detectors.
semi_03,Gallium Arsenide,GaAs,Semiconductors,144.64,shomate,298.15,1511.0,46.2,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Direct bandgap (1.42 eV) zincblende compound for RF/optoelectronics.
semi_04,Gallium Nitride,GaN,Semiconductors,83.73,shomate,298.15,1700.0,35.8,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Wide bandgap (3.4 eV) wurtzite semiconductor for blue LEDs and power transistors.
semi_05,Indium Phosphide,InP,Semiconductors,145.79,shomate,298.15,1335.0,45.4,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,High electron velocity substrate for fiber optic lasers and THz devices.
semi_06,Cadmium Telluride,CdTe,Semiconductors,240.01,shomate,298.15,1365.0,50.21,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Direct bandgap (1.5 eV) thin-film photovoltaic absorber material.
semi_07,Cadmium Sulfide,CdS,Semiconductors,144.48,shomate,298.15,1600.0,47.3,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,II-VI buffer layer semiconductor for CIGS solar cells.
semi_08,Zinc Selenide,ZnSe,Semiconductors,144.35,shomate,298.15,1500.0,47.9,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Wide bandgap (2.7 eV) optical window for high-power CO2 lasers.
semi_09,Zinc Sulfide,ZnS,Semiconductors,97.47,shomate,298.15,1500.0,45.6,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Sphalerite/wurtzite phosphorescent phosphor and IR dome material.
semi_10,Indium Arsenide,InAs,Semiconductors,189.74,shomate,298.15,1215.0,47.8,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Narrow bandgap (0.35 eV) high mobility semiconductor for MWIR detectors.
semi_11,Indium Antimonide,InSb,Semiconductors,236.58,shomate,298.15,800.0,49.8,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,"Highest room-temperature electron mobility (77,000 cm2/Vs) semiconductor."
semi_12,Gallium Antimonide,GaSb,Semiconductors,191.48,shomate,298.15,985.0,48.5,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Zincblende substrate for mid-IR thermophotovoltaic cells.
semi_13,Aluminum Arsenide,AlAs,Semiconductors,101.9,shomate,298.15,1600.0,44.3,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Lattice-matched barrier material for GaAs/AlGaAs quantum heterostructures.
semi_14,Aluminum Antimonide,AlSb,Semiconductors,148.74,shomate,298.15,1330.0,46.8,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Indirect bandgap (1.6 eV) compound for high-temperature radiation detectors.
semi_15,Lead Telluride,PbTe,Semiconductors,334.8,shomate,298.15,1197.0,50.8,J/(mol*K),NIST Chemistry WebBook / Barin (1995),Narrow gap IV-VI rocksalt semiconductor; benchmark thermoelectric material.
semi_16,Lead Sulfide (Galena),PbS,Semiconductors,239.3,shomate,298.15,1387.0,49.5,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Natural rocksalt semiconductor for uncooled SWIR photoconductive sensors.
semi_17,Lead Selenide,PbSe,Semiconductors,286.2,shomate,298.15,1350.0,50.1,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,IV-VI semiconductor for MWIR focal plane arrays and lasers.
semi_18,Bismuth Telluride,Bi2Te3,Semiconductors,800.76,poly,298.15,858.0,125.5,J/(mol*K),"Goldsmid, Thermoelectric Refrigeration / CRC",Benchmark room-temperature Peltier thermoelectric cooling material.
semi_19,Antimony Telluride,Sb2Te3,Semiconductors,626.32,poly,298.15,890.0,124.0,J/(mol*K),CRC Handbook of Chemistry and Physics / MatWeb,Rhombohedral topological insulator and p-type thermoelectric alloy.
semi_20,Silicon Carbide (4H-SiC),SiC,Semiconductors,40.1,shomate,298.15,2000.0,26.9,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Wide bandgap (3.26 eV) hexagonal SiC for high-voltage power MOSFETs.
semi_21,beta-Gallium Oxide,Ga2O3,Semiconductors,187.44,shomate,298.15,1800.0,92.15,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Ultra-wide bandgap (4.8 eV) monoclinic oxide for next-gen power converters.
semi_22,Diamond (Carbon),C,Semiconductors,12.011,shomate,298.15,1500.0,6.115,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,"Extreme Debye temperature (2220 K), highest room-T thermal conductivity (2200 W/m-K)."
semi_23,Copper Indium Diselenide,CuInSe2,Semiconductors,336.28,poly,298.15,900.0,101.5,J/(mol*K),"Rincon et al., Phys. Status Solidi / MatWeb",Chalcopyrite high-efficiency thin-film solar cell absorber.
semi_24,Molybdenum Disulfide,MoS2,Semiconductors,160.07,shomate,298.15,1200.0,63.5,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,2D transition metal dichalcogenide semiconductor and solid lubricant.
semi_25,Tungsten Disulfide,WS2,Semiconductors,247.97,shomate,298.15,1200.0,65.8,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Layered 2D semiconducting material with high photoluminescence yield.
poly_01,High Density Polyethylene (HDPE),-(C2H4)n-,Polymers,28.05,poly,200.0,390.0,1850.0,J/(kg*K),PoLyInfo (NIMS) / Wunderlich ATHAS Database,"Semi-crystalline linear polyolefin; Tg ~ 150 K, Tm ~ 405 K."
poly_02,Low Density Polyethylene (LDPE),-(C2H4)n-,Polymers,28.05,poly,200.0,375.0,2100.0,J/(kg*K),PoLyInfo (NIMS) / ATHAS Polymer Database,Branched polyolefin with higher chain flexibility and lower crystallinity.
poly_03,Polypropylene (Isotactic PP),-(C3H6)n-,Polymers,42.08,poly,220.0,420.0,1920.0,J/(kg*K),PoLyInfo (NIMS) / Wunderlich ATHAS,Semi-crystalline commodity thermoplastic; Tm ~ 438 K.
poly_04,Polystyrene (Atactic PS),-(C8H8)n-,Polymers,104.15,poly,200.0,365.0,1220.0,J/(kg*K),PoLyInfo (NIMS) / Brandrup Polymer Handbook,Amorphous glass-clear polymer; glass transition Tg ~ 373 K (100 C).
poly_05,Poly(vinyl chloride) (PVC),-(C2H3Cl)n-,Polymers,62.5,poly,200.0,350.0,1150.0,J/(kg*K),PoLyInfo (NIMS) / Polymer Handbook,Rigid halogenated polymer for piping; Tg ~ 355 K (82 C).
poly_06,Poly(tetrafluoroethylene) (PTFE),-(C2F4)n-,Polymers,100.02,poly,200.0,550.0,1050.0,J/(kg*K),PoLyInfo / DuPont Teflon Technical Data,Fluoropolymer with exceptional chemical inertness and low friction; Tm ~ 600 K.
poly_07,Poly(methyl methacrylate) (PMMA),-(C5H8O2)n-,Polymers,100.12,poly,200.0,370.0,1420.0,J/(kg*K),PoLyInfo (NIMS) / ATHAS Database,Transparent acrylic glass (Plexiglas); Tg ~ 378 K (105 C).
poly_08,Polycarbonate (Bisphenol A PC),-(C16H14O3)n-,Polymers,254.28,poly,200.0,410.0,1200.0,J/(kg*K),PoLyInfo (NIMS) / Lexan Technical Manual,High impact resistance amorphous engineering polymer; Tg ~ 420 K (147 C).
poly_09,Poly(ethylene terephthalate) (PET),-(C10H8O4)n-,Polymers,192.17,poly,200.0,500.0,1300.0,J/(kg*K),PoLyInfo (NIMS) / Polymer Handbook,Semi-crystalline polyester for beverage containers and synthetic fibers.
poly_10,Polyether ether ketone (PEEK),-(C19H12O3)n-,Polymers,288.3,poly,200.0,580.0,1340.0,J/(kg*K),Victrex PEEK Materials Data / PoLyInfo,High-performance semicrystalline polymer; continuous service up to 520 K.
poly_11,Polyimide (Kapton),-(C22H10N2O5)n-,Polymers,382.33,poly,200.0,650.0,1090.0,J/(kg*K),DuPont Kapton Summary / PoLyInfo,Aromatic polyimide film for aerospace thermal insulation blankets.
poly_12,Polyamide 6 (Nylon 6),-(C6H11NO)n-,Polymers,113.16,poly,200.0,470.0,1600.0,J/(kg*K),PoLyInfo (NIMS) / BASF Ultramid Data,Semi-crystalline polyamide with strong hydrogen bonding; Tm ~ 495 K.
poly_13,"Polyamide 6,6 (Nylon 66)",-(C12H22N2O2)n-,Polymers,226.32,poly,200.0,500.0,1670.0,J/(kg*K),PoLyInfo (NIMS) / DuPont Zytel Data,Higher melting nylon engineered for automotive under-the-hood parts; Tm ~ 533 K.
poly_14,Polyoxymethylene (POM Acetal),-(CH2O)n-,Polymers,30.03,poly,200.0,430.0,1470.0,J/(kg*K),PoLyInfo (NIMS) / Celanese Hostaform,High-stiffness low-friction engineering polyacetal for precision gears.
poly_15,Thermoplastic Polyurethane (TPU),-(C25H32N2O6)n-,Polymers,456.53,poly,200.0,400.0,1800.0,J/(kg*K),PoLyInfo (NIMS) / Bayer Desmopan Manual,Segmented block copolymer elastomer with excellent abrasion resistance.
poly_16,Epoxy Resin (Bisphenol A/Amine),C21H24O4 crosslinked,Polymers,340.41,poly,200.0,420.0,1250.0,J/(kg*K),ATHAS Database / Hexcel Composites Manual,Thermosetting resin matrix for high-performance CFRP aerospace composites.
poly_17,Phenolic Resin (Bakelite),C7H6O crosslinked,Polymers,106.12,poly,200.0,450.0,1180.0,J/(kg*K),PoLyInfo (NIMS) / Mark's Standard Handbook,First synthetic thermoset plastic; outstanding flame and heat resistance.
poly_18,Polydimethylsiloxane (PDMS),-(Si(CH3)2O)n-,Polymers,74.15,poly,180.0,450.0,1460.0,J/(kg*K),Dow Corning Silicone Handbook / PoLyInfo,Silicone rubber elastomer with flexible siloxane backbone; Tg ~ 150 K.
poly_19,Natural Rubber (cis-Polyisoprene),-(C5H8)n-,Polymers,68.12,poly,200.0,350.0,1880.0,J/(kg*K),PoLyInfo / Rubber Division ACS Data,High-elasticity natural elastomer; strain-induced crystallization.
poly_20,Polychloroprene (Neoprene),-(C4H5Cl)n-,Polymers,88.54,poly,200.0,360.0,1720.0,J/(kg*K),DuPont Elastomers / PoLyInfo,"Synthetic rubber resistant to oil, weather, and ozone degradation."
poly_21,Poly(vinylidene fluoride) (PVDF),-(C2H2F2)n-,Polymers,64.03,poly,200.0,430.0,1300.0,J/(kg*K),Arkema Kynar Data / PoLyInfo,Piezoelectric and ferroelectric semi-crystalline fluoropolymer.
poly_22,Acrylonitrile Butadiene Styrene (ABS),Terpolymer,Polymers,100.0,poly,200.0,370.0,1400.0,J/(kg*K),PoLyInfo (NIMS) / Sabic Cycolac Data,Tough engineering terpolymer widely used in 3D printing filaments and enclosures.
poly_23,Polyacrylonitrile (PAN),-(C3H3N)n-,Polymers,53.06,poly,200.0,420.0,1320.0,J/(kg*K),PoLyInfo (NIMS) / Polymer Handbook,Precursor polymer for carbon fiber manufacturing.
poly_24,Polycaprolactone (PCL),-(C6H10O2)n-,Polymers,114.14,poly,200.0,330.0,1680.0,J/(kg*K),PoLyInfo (NIMS) / ATHAS Database,Biodegradable polyester with low melting point (Tm ~ 333 K / 60 C).
poly_25,Poly(lactic acid) (PLA),-(C3H4O2)n-,Polymers,72.06,poly,200.0,380.0,1500.0,J/(kg*K),NatureWorks Ingeo / PoLyInfo,Bio-derived renewable thermoplastic for packaging and FDM 3D printing.
poly_26,Poly(ether sulfone) (PES),-(C12H8O3S)n-,Polymers,232.26,poly,200.0,480.0,1150.0,J/(kg*K),Solvay Radel Data / PoLyInfo,High-temperature amorphous sulfone polymer; Tg ~ 498 K (225 C).
poly_27,Poly(phenylene sulfide) (PPS),-(C6H4S)n-,Polymers,108.16,poly,200.0,520.0,1100.0,J/(kg*K),Chevron Phillips Ryton / PoLyInfo,Semi-crystalline polymer with exceptional chemical resistance; Tm ~ 558 K.
poly_28,Poly(vinyl alcohol) (PVA),-(C2H4O)n-,Polymers,44.05,poly,200.0,380.0,1650.0,J/(kg*K),Kuraray Poval Data / PoLyInfo,Water-soluble synthetic polymer for packaging films and adhesive paper.
poly_29,Cellulose Acetate,Polymer derivative,Polymers,250.0,poly,200.0,400.0,1450.0,J/(kg*K),Eastman Chemical / Polymer Handbook,Cellulose ester used in spectacle frames and photographic film bases.
poly_30,Fluorinated Ethylene Propylene (FEP),-(C2F4)m-(C3F6)n-,Polymers,100.0,poly,200.0,520.0,1120.0,J/(kg*K),DuPont FEP Technical Bulletin / PoLyInfo,Melt-processable fluoropolymer with dielectric properties matching PTFE.
gla_01,Fused Silica Glass,SiO2 (amorphous),Glasses,60.084,poly,200.0,1400.0,740.0,J/(kg*K),Corning Glass Data / Touloukian TPRC Series Vol. 5,Pure vitreous silica with near-zero CTE (0.5e-6 /K) and high UV transmission.
gla_02,Borosilicate Glass (Pyrex 7740),81SiO2-13B2O3-4Na2O-2Al2O3,Glasses,63.5,poly,200.0,800.0,750.0,J/(kg*K),Corning 7740 Data Sheet / MatWeb,Thermal-shock resistant laboratory glassware; Tg ~ 833 K (560 C).
